year,rank,title,artist
2013,20,Suit & Tie,Justin Timberlake featuring Jay-Z
2013,21,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick
2013,22,Holy Grail,Jay-Z featuring Justin Timberlake
2013,23,Scream & Shout,will.i.am featuring Britney Spears
2013,24,Clarity,Zedd featuring Foxes
2013,25,Sail,Awolnation
2013,26,Don't You Worry Child,Swedish House Mafia featuring John Martin
2013,27,Diamonds,Rihanna
2013,28,I Love It,Icona Pop featuring Charli XCX
2013,29,Safe and Sound,Capital Cities
2013,30,Treasure,Bruno Mars
2013,31,The Way,Ariana Grande featuring Mac Miller
2013,32,Started from the Bottom,Drake
2013,33,Come & Get It,Selena Gomez
2013,34,"Hold On, We're Going Home",Drake featuring Majid Jordan
2013,35,Daylight,Maroon 5
2013,36,Feel This Moment,Pitbull featuring Christina Aguilera
2013,37,Applause,Lady Gaga
2013,38,One More Night,Maroon 5
2013,39,Love Me,Lil Wayne featuring Drake and Future
2013,40,My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy
2013,41,Fuckin' Problems,"ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar"
2013,42,Beauty and a Beat,Justin Bieber featuring Nicki Minaj
2013,43,Same Love,Macklemore & Ryan Lewis featuring Mary Lambert
2013,44,Sweet Nothing,Calvin Harris featuring Florence Welch
2013,45,Summertime Sadness,Lana Del Rey and Cédric Gervais
2013,46,Home,Phillip Phillips
2013,47,It's Time,Imagine Dragons
2013,48,Power Trip,J. Cole featuring Miguel
2013,49,Girl on Fire,Alicia Keys featuring Nicki Minaj
2013,50,Heart Attack,Demi Lovato
2013,51,Love Somebody,Maroon 5
2013,52,I Will Wait,Mumford & Sons
2013,53,Try,Pink
2013,54,Wagon Wheel,Darius Rucker
2013,55,Gangnam Style,Psy
2013,56,I Need Your Love,Calvin Harris featuring Ellie Goulding
2013,57,Die Young,Kesha
2013,58,Some Nights,Fun
2013,59,Bad,Wale featuring Tiara Thomas or Rihanna
2013,60,Boys 'Round Here,Blake Shelton featuring Pistol Annies and Friends
2013,61,"Gone, Gone, Gone",Phillip Phillips
2013,62,Demons,Imagine Dragons
2013,63,Counting Stars,OneRepublic
2013,64,I Cry,Flo Rida
2013,65,Little Talks,Of Monsters and Men
2013,66,The Other Side,Jason Derulo
2013,67,Berzerk,Eminem
2013,68,Catch My Breath,Kelly Clarkson
2013,69,Crash My Party,Luke Bryan
2013,70,Pour It Up,Rihanna
2013,71,22,Taylor Swift
2013,72,I Want Crazy,Hunter Hayes
2013,73,The Fox (What Does the Fox Say?),Ylvis
2013,74,Best Song Ever,One Direction
2013,75,The A Team,Ed Sheeran
2013,76,Carry On,Fun
2013,77,Highway Don't Care,Tim McGraw featuring Taylor Swift and Keith Urban
2013,78,That's My Kind of Night,Luke Bryan
2013,79,Swimming Pools (Drank),Kendrick Lamar
2013,80,Sure Be Cool If You Did,Blake Shelton
2013,81,#Beautiful,Mariah Carey featuring Miguel
2013,82,Troublemaker,Olly Murs featuring Flo Rida
2013,83,Body Party,Ciara
2013,84,Adorn,Miguel
2013,85,Hall of Fame,The Script featuring will.i.am
2013,86,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo
2013,87,U.O.E.N.O.,Rocko featuring Future and Rick Ross
2013,88,Next to Me,Emeli Sandé
2013,89,Mama's Broken Heart,Miranda Lambert
2013,90,It Goes Like This,Thomas Rhett
2013,91,Bugatti,Ace Hood featuring Future and Rick Ross
2013,92,Wanted,Hunter Hayes
2013,93,Downtown,Lady Antebellum
2013,94,Get Your Shine On,Florida Georgia Line
2013,95,#thatPower,will.i.am featuring Justin Bieber
2013,96,Brave,Sara Bareilles
2013,97,Let Her Go,Passenger
2013,98,Runnin' Outta Moonlight,Randy Houser
2013,99,I'm Different,2 Chainz
2013,100,Still Into You,Paramore
2014,1,Happy,Pharrell Williams
2014,2,Dark Horse,Katy Perry featuring Juicy J
2014,3,All of Me,John Legend
2014,4,Fancy,Iggy Azalea featuring Charli XCX
2014,5,Counting Stars,OneRepublic
2014,6,Talk Dirty,Jason Derulo featuring 2 Chainz
2014,7,Rude,Magic!
2014,8,All About That Bass,Meghan Trainor
2014,9,Problem,Ariana Grande featuring Iggy Azalea
2014,10,Stay with Me,Sam Smith
2014,11,Timber,Pitbull featuring Kesha
2014,12,Pompeii,Bastille
2014,13,Shake It Off,Taylor Swift
2014,14,Am I Wrong,Nico & Vinz
2014,15,Turn Down for What,DJ Snake and Lil Jon
2014,16,The Monster,Eminem featuring Rihanna
2014,17,Say Something,A Great Big World and Christina Aguilera
2014,18,Team,Lorde
2014,19,Let Her Go,Passenger
2014,20,Royals,Lorde
2014,21,Let It Go,Idina Menzel
2014,22,Wake Me Up,Avicii
2014,23,Demons,Imagine Dragons
2014,24,Story of My Life,One Direction
2014,25,Chandelier,Sia
2014,26,Black Widow,Iggy Azalea featuring Rita Ora
2014,27,Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj"
2014,28,Latch,Disclosure featuring Sam Smith
2014,29,Maps,Maroon 5
2014,30,Loyal,Chris Brown featuring Lil Wayne and French Montana or Too Short or Tyga
2014,31,Best Day of My Life,American Authors
2014,32,Habits (Stay High),Tove Lo
2014,33,Summer,Calvin Harris
2014,34,Boom Clap,Charli XCX
2014,35,Drunk in Love,Beyoncé featuring Jay-Z
2014,36,Anaconda,Nicki Minaj
2014,37,Break Free,Ariana Grande featuring Zedd
2014,38,Bailando,Enrique Iglesias featuring Descemer Bueno and Gente de Zona
2014,39,Burn,Ellie Goulding
2014,40,Wiggle,Jason Derulo featuring Snoop Dogg
2014,41,Rather Be,Clean Bandit featuring Jess Glynne
2014,42,Don't Tell 'Em,Jeremih featuring YG
2014,43,Show Me,Kid Ink featuring Chris Brown
2014,44,Wrecking Ball,Miley Cyrus
2014,45,Not a Bad Thing,Justin Timberlake
2014,46,Roar,Katy Perry
2014,47,Ain't It Fun,Paramore
2014,48,The Man,Aloe Blacc
2014,49,This Is How We Roll,Florida Georgia Line featuring Luke Bryan
2014,50,Classic,MKTO
2014,51,A Sky Full of Stars,Coldplay
2014,52,Don't,Ed Sheeran
2014,53,Na Na,Trey Songz
2014,54,Hot Boy,Bobby Shmurda
2014,55,"Hold On, We're Going Home",Drake featuring Majid Jordan
2014,56,Sing,Ed Sheeran
2014,57,Radioactive,Imagine Dragons
2014,58,My Hitta,YG featuring Jeezy and Rich Homie Quan
2014,59,Cool Kids,Echosmith
2014,60,Hey Brother,Avicii
2014,61,Trumpets,Jason Derulo
2014,62,Animals,Maroon 5
2014,63,Burnin' It Down,Jason Aldean
2014,64,Play It Again,Luke Bryan
2014,65,2 On,Tinashe featuring ScHoolboy Q
2014,66,Dirt,Florida Georgia Line
2014,67,Love Runs Out,OneRepublic
2014,68,Bottoms Up,Brantley Gilbert
2014,69,Shower,Becky G
2014,70,Me and My Broken Heart,Rixton
2014,71,Animals,Martin Garrix
2014,72,Lifestyle,Rich Gang featuring Young Thug and Rich Homie Quan
2014,73,American Kids,Kenny Chesney
2014,74,Brave,Sara Bareilles
2014,75,Sweater Weather,The Neighbourhood
2014,76,Leave the Night On,Sam Hunt
2014,77,New Flame,Chris Brown featuring Usher and Rick Ross
2014,78,Love Never Felt So Good,Michael Jackson and Justin Timberlake
2014,79,Drunk on a Plane,Dierks Bentley
2014,80,Birthday,Katy Perry
2014,81,Bartender,Lady Antebellum
2014,82,La La La,Naughty Boy featuring Sam Smith
2014,83,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
2014,84,Do What U Want,Lady Gaga featuring R. Kelly
2014,85,Can't Remember to Forget You,Shakira featuring Rihanna
2014,86,Amnesia,5 Seconds of Summer
2014,87,No Mediocre,T.I. featuring Iggy Azalea
2014,88,Come with Me Now,KONGOS
2014,89,Believe Me,Lil Wayne featuring Drake
2014,90,23,"Mike WiLL Made-It featuring Miley Cyrus, Wiz Khalifa, and Juicy J"
2014,91,Beachin',Jake Owen
2014,92,White Walls,Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis
2014,93,She Looks So Perfect,5 Seconds of Summer
2014,94,Stay the Night,Zedd featuring Hayley Williams
2014,95,Partition,Beyoncé
2014,96,Studio,ScHoolboy Q featuring BJ the Chicago Kid
2014,97,0 to 100 / The Catch Up,Drake
2014,98,I Don't Dance,Lee Brice
2014,99,Somethin' Bad,Miranda Lambert and Carrie Underwood
2014,100,Adore You,Miley Cyrus
2015,1,Uptown Funk,Mark Ronson featuring Bruno Mars
2015,2,Thinking Out Loud,Ed Sheeran
2015,3,See You Again,Wiz Khalifa featuring Charlie Puth
2015,4,Trap Queen,Fetty Wap
2015,5,Sugar,Maroon 5
2015,6,Shut Up and Dance,Walk the Moon
2015,7,Blank Space,Taylor Swift
2015,8,Watch Me,Silentó
2015,9,Earned It,The Weeknd
2015,10,The Hills,The Weeknd
2015,11,Cheerleader (Felix Jaehn Remix),OMI
2015,12,Can't Feel My Face,The Weeknd
2015,13,Love Me Like You Do,Ellie Goulding
2015,14,Take Me to Church,Hozier
2015,15,Bad Blood,Taylor Swift featuring Kendrick Lamar
2015,16,Lean On,Major Lazer and DJ Snake featuring MØ
2015,17,Want to Want Me,Jason Derulo
2015,18,Shake It Off,Taylor Swift
2015,19,Where Are Ü Now,Skrillex and Diplo (Jack Ü) featuring Justin Bieber
2015,20,Fight Song,Rachel Platten
2015,21,679,Fetty Wap featuring Remy Boyz
2015,22,Lips Are Movin,Meghan Trainor
2015,23,Worth It,Fifth Harmony featuring Kid Ink
2015,24,Post to Be,Omarion featuring Chris Brown and Jhené Aiko
2015,25,"Honey, I'm Good.",Andy Grammer
2015,26,I'm Not the Only One,Sam Smith
2015,27,Good for You,Selena Gomez featuring ASAP Rocky
2015,28,All About That Bass,Meghan Trainor
2015,29,Style,Taylor Swift
2015,30,Hotline Bling,Drake
2015,31,Hey Mama,"David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack"
2015,32,G.D.F.R.,Flo Rida featuring Sage the Gemini and Lookas
2015,33,What Do You Mean?,Justin Bieber
2015,34,Photograph,Ed Sheeran
2015,35,Hello,Adele
2015,36,Stitches,Shawn Mendes
2015,37,Talking Body,Tove Lo
2015,38,Jealous,Nick Jonas
2015,39,Time of Our Lives,Pitbull and Ne-Yo
2015,40,Locked Away,R. City featuring Adam Levine
2015,41,Somebody,Natalie La Rose featuring Jeremih
2015,42,FourFiveSeconds,"Rihanna, Kanye West and Paul McCartney"
2015,43,Centuries,Fall Out Boy
2015,44,My Way,Fetty Wap featuring Monty
2015,45,Take Your Time,Sam Hunt
2015,46,Animals,Maroon 5
2015,47,I Don't Fuck with You,Big Sean featuring E-40
2015,48,Bitch Better Have My Money,Rihanna
2015,49,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan
2015,50,Nasty Freestyle,T-Wayne
2015,51,Only,"Nicki Minaj featuring Drake, Lil Wayne and Chris Brown"
2015,52,Elastic Heart,Sia
2015,53,Cool for the Summer,Demi Lovato
2015,54,Renegades,X Ambassadors
2015,55,I Don't Mind,Usher featuring Juicy J
2015,56,Love Me Harder,Ariana Grande and The Weeknd
2015,57,Wildest Dreams,Taylor Swift
2015,58,Stay with Me,Sam Smith
2015,59,You Know You Like It,DJ Snake and AlunaGeorge
2015,60,Uma Thurman,Fall Out Boy
2015,61,7/11,Beyoncé
2015,62,The Heart Wants What It Wants,Selena Gomez
2015,63,Girl Crush,Little Big Town
2015,64,Slow Motion,Trey Songz
2015,65,Drag Me Down,One Direction
2015,66,Truffle Butter,Nicki Minaj featuring Drake and Lil Wayne
2015,67,One Last Time,Ariana Grande
2015,68,Chains,Nick Jonas
2015,69,All Eyes on You,Meek Mill featuring Chris Brown and Nicki Minaj
2015,70,No Type,Rae Sremmurd
2015,71,Riptide,Vance Joy
2015,72,Classic Man,Jidenna featuring Roman GianArthur
2015,73,Ex's & Oh's,Elle King
2015,74,Dear Future Husband,Meghan Trainor
2015,75,Marvin Gaye,Charlie Puth featuring Meghan Trainor
2015,76,Like I'm Gonna Lose You,Meghan Trainor featuring John Legend
2015,77,Habits (Stay High),Tove Lo
2015,78,The Hanging Tree,James Newton Howard featuring Jennifer Lawrence
2015,79,CoCo,O.T. Genasis
2015,80,Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj"
2015,81,Lay Me Down,Sam Smith
2015,82,Tuesday,ILoveMakonnen featuring Drake
2015,83,Hit the Quan,iLoveMemphis
2015,84,Downtown,"Macklemore & Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster Caz"
2015,85,House Party,Sam Hunt
2015,86,Ayo,Chris Brown and Tyga
2015,87,Kick the Dust Up,Luke Bryan
2015,88,Blessings,Big Sean featuring Drake and Kanye West
2015,89,Budapest,George Ezra
2015,90,Chandelier,Sia
2015,91,Heartbeat Song,Kelly Clarkson
2015,92,Don't,Ed Sheeran
2015,93,Ghost,Ella Henderson
2015,94,Here,Alessia Cara
2015,95,Waves (Robin Schulz Remix),Mr Probz
2015,96,El Perdón,Nicky Jam and Enrique Iglesias
2015,97,She Knows,Ne-Yo featuring Juicy J
2015,98,Night Changes,One Direction
2015,99,Back to Back,Drake
2015,100,How Deep Is Your Love,Calvin Harris and Disciples
2016,1,Love Yourself,Justin Bieber
2016,2,Sorry,Justin Bieber
2016,3,One Dance,Drake featuring Wizkid and Kyla
2016,4,Work,Rihanna featuring Drake
2016,5,Stressed Out,Twenty One Pilots
2016,6,Panda,Desiigner
2016,7,Hello,Adele
2016,8,Don't Let Me Down,The Chainsmokers featuring Daya
2016,9,Can't Stop the Feeling!,Justin Timberlake
2016,10,Closer,The Chainsmokers featuring Halsey
2016,11,Cheap Thrills,Sia featuring Sean Paul
2016,12,7 Years,Lukas Graham
2016,13,Needed Me,Rihanna
2016,14,My House,Flo Rida
2016,15,I Took a Pill in Ibiza,Mike Posner
2016,16,Work from Home,Fifth Harmony featuring Ty Dolla Sign
2016,17,This Is What You Came For,Calvin Harris featuring Rihanna
2016,18,Cake by the Ocean,DNCE
2016,19,"Me, Myself & I",G-Eazy and Bebe Rexha
2016,20,Ride,Twenty One Pilots
2016,21,Heathens,Twenty One Pilots
2016,22,Pillowtalk,Zayn
2016,23,Stitches,Shawn Mendes
2016,24,Hotline Bling,Drake
2016,25,Cold Water,Major Lazer featuring Justin Bieber and MØ
2016,26,Send My Love (To Your New Lover),Adele
2016,27,Roses,The Chainsmokers featuring Rozes
2016,28,Treat You Better,Shawn Mendes
2016,29,Too Good,Drake featuring Rihanna
2016,30,Low Life,Future featuring The Weeknd
2016,31,What Do You Mean?,Justin Bieber
2016,32,The Hills,The Weeknd
2016,33,Just Like Fire,P!nk
2016,34,Broccoli,DRAM featuring Lil Yachty
2016,35,Don't,Bryson Tiller
2016,36,Dangerous Woman,Ariana Grande
2016,37,Jumpman,Drake and Future
2016,38,"I Hate U, I Love U",Gnash featuring Olivia O'Brien
2016,39,Here,Alessia Cara
2016,40,Same Old Love,Selena Gomez
2016,41,Controlla,Drake
2016,42,Like I'm Gonna Lose You,Meghan Trainor featuring John Legend
2016,43,One Call Away,Charlie Puth
2016,44,Let It Go,James Bay
2016,45,No,Meghan Trainor
2016,46,Never Forget You,Zara Larsson and MNEK
2016,47,Let Me Love You,DJ Snake featuring Justin Bieber
2016,48,Don't Mind,Kent Jones
2016,49,H.O.L.Y.,Florida Georgia Line
2016,50,We Don't Talk Anymore,Charlie Puth featuring Selena Gomez
2016,51,Into You,Ariana Grande
2016,52,Gold,Kiiara
2016,53,Exchange,Bryson Tiller
2016,54,679,Fetty Wap featuring Remy Boyz
2016,55,Oui,Jeremih
2016,56,Hands to Myself,Selena Gomez
2016,57,2 Phones,Kevin Gates
2016,58,Starboy,The Weeknd featuring Daft Punk
2016,59,For Free,DJ Khaled featuring Drake
2016,60,Never Be Like You,Flume featuring Kai
2016,61,In the Night,The Weeknd
2016,62,Me Too,Meghan Trainor
2016,63,Ex's & Oh's,Elle King
2016,64,Die a Happy Man,Thomas Rhett
2016,65,White Iverson,Post Malone
2016,66,Close,Nick Jonas featuring Tove Lo
2016,67,Unsteady,X Ambassadors
2016,68,Sucker for Pain,"Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla Sign featuring X Ambassadors"
2016,69,Down in the DM,Yo Gotti featuring Nicki Minaj
2016,70,Luv,Tory Lanez
2016,71,Sorry,Beyoncé
2016,72,Can't Feel My Face,The Weeknd
2016,73,Hymn for the Weekend,Coldplay
2016,74,Say It,Tory Lanez
2016,75,Antidote,Travis Scott
2016,76,Lost Boy,Ruth B
2016,77,Side to Side,Ariana Grande featuring Nicki Minaj
2016,78,"Sit Still, Look Pretty",Daya
2016,79,Wildest Dreams,Taylor Swift
2016,80,Middle,DJ Snake featuring Bipolar Sunshine
2016,81,On My Mind,Ellie Goulding
2016,82,Pop Style,Drake featuring Jay-Z and Kanye West[a]
2016,83,When We Were Young,Adele
2016,84,Hide Away,Daya
2016,85,Lean On,Major Lazer and DJ Snake featuring MØ
2016,86,I Know What You Did Last Summer,Shawn Mendes and Camila Cabello
2016,87,All the Way Up,Fat Joe and Remy Ma featuring French Montana and Infared
2016,88,Watch Me,Silentó
2016,89,Back to Sleep,Chris Brown
2016,90,No Limit,Usher featuring Young Thug
2016,91,Cut It,O.T. Genasis featuring Young Dolph
2016,92,Really Really,Kevin Gates
2016,93,All In My Head (Flex),Fifth Harmony featuring Fetty Wap
2016,94,Starving,Hailee Steinfeld and Grey featuring Zedd
2016,95,Adventure of a Lifetime,Coldplay
2016,96,Humble and Kind,Tim McGraw
2016,97,Wicked,Future
2016,98,Tiimmy Turner,Desiigner
2016,99,See You Again,Wiz Khalifa featuring Charlie Puth
2016,100,Perfect,One Direction
2017,1,Shape of You,Ed Sheeran
2017,2,Despacito (Remix),Luis Fonsi and Daddy Yankee featuring Justin Bieber
2017,3,That's What I Like,Bruno Mars
2017,4,Humble,Kendrick Lamar
2017,5,Something Just Like This,The Chainsmokers and Coldplay
2017,6,Bad and Boujee,Migos featuring Lil Uzi Vert
2017,7,Closer,The Chainsmokers featuring Halsey
2017,8,Body Like a Back Road,Sam Hunt
2017,9,Believer,Imagine Dragons
2017,10,Congratulations,Post Malone featuring Quavo
2017,11,Say You Won't Let Go,James Arthur
2017,12,I'm the One,"DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne"
2017,13,XO Tour Llif3,Lil Uzi Vert
2017,14,Mask Off,Future
2017,15,Unforgettable,French Montana featuring Swae Lee
2017,16,24K Magic,Bruno Mars
2017,17,Stay,Zedd and Alessia Cara
2017,18,Wild Thoughts,DJ Khaled featuring Rihanna and Bryson Tiller
2017,19,Black Beatles,Rae Sremmurd featuring Gucci Mane
2017,20,Starboy,The Weeknd featuring Daft Punk
2017,21,Location,Khalid
2017,22,Attention,Charlie Puth
2017,23,There's Nothing Holdin' Me Back,Shawn Mendes
2017,24,Bodak Yellow,Cardi B
2017,25,Redbone,Childish Gambino
2017,26,I Don't Wanna Live Forever,Zayn and Taylor Swift
2017,27,It Ain't Me,Kygo and Selena Gomez
2017,28,iSpy,Kyle featuring Lil Yachty
2017,29,Issues,Julia Michaels
2017,30,Scars to Your Beautiful,Alessia Cara
2017,31,1-800-273-8255,Logic featuring Alessia Cara and Khalid
2017,32,Slow Hands,Niall Horan
2017,33,Love on the Brain,Rihanna
2017,34,I Feel It Coming,The Weeknd featuring Daft Punk
2017,35,Bounce Back,Big Sean
2017,36,Strip That Down,Liam Payne featuring Quavo
2017,37,Fake Love,Drake
2017,38,Don't Wanna Know,Maroon 5 featuring Kendrick Lamar
2017,39,Look What You Made Me Do,Taylor Swift
2017,40,Castle on the Hill,Ed Sheeran
2017,41,Bad Things,Machine Gun Kelly and Camila Cabello
2017,42,Paris,The Chainsmokers
2017,43,Side to Side,Ariana Grande featuring Nicki Minaj
2017,44,Rockabye,Clean Bandit featuring Sean Paul and Anne-Marie
2017,45,Feel It Still,Portugal. The Man
2017,46,Let Me Love You,DJ Snake featuring Justin Bieber
2017,47,Sorry Not Sorry,Demi Lovato
2017,48,Bank Account,21 Savage
2017,49,Can't Stop the Feeling!,Justin Timberlake
2017,50,Mi Gente,J Balvin and Willy William featuring Beyoncé
2017,51,Thunder,Imagine Dragons
2017,52,T-shirt,Migos
2017,53,Rake It Up,Yo Gotti featuring Nicki Minaj
2017,54,Mercy,Shawn Mendes
2017,55,Tunnel Vision,Kodak Black
2017,56,Rockstar,Post Malone featuring 21 Savage
2017,57,In Case You Didn't Know,Brett Young
2017,58,Heathens,Twenty One Pilots
2017,59,Now or Never,Halsey
2017,60,Caroline,Aminé
2017,61,Rolex,Ayo & Teo
2017,62,DNA,Kendrick Lamar
2017,63,Juju on That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall
2017,64,Swang,Rae Sremmurd
2017,65,Passionfruit,Drake
2017,66,Loyalty,Kendrick Lamar featuring Rihanna
2017,67,Praying,Kesha
2017,68,Goosebumps,Travis Scott
2017,69,Cold,Maroon 5 featuring Future
2017,70,Broccoli,DRAM featuring Lil Yachty
2017,71,Slide,Calvin Harris featuring Frank Ocean and Migos
2017,72,What Ifs,Kane Brown featuring Lauren Alaina
2017,73,Chained to the Rhythm,Katy Perry featuring Skip Marley
2017,74,Feels,"Calvin Harris featuring Pharrell Williams, Katy Perry and Big Sean"
2017,75,All Time Low,Jon Bellion
2017,76,Hurricane,Luke Combs
2017,77,Too Good at Goodbyes,Sam Smith
2017,78,Young Dumb & Broke,Khalid
2017,79,Magnolia,Playboi Carti
2017,80,Love Galore,SZA featuring Travis Scott
2017,81,Drowning,A Boogie wit da Hoodie featuring Kodak Black
2017,82,Starving,Hailee Steinfeld and Grey featuring Zedd
2017,83,Both,Gucci Mane featuring Drake
2017,84,What About Us,P!nk
2017,85,Swalla,Jason Derulo featuring Nicki Minaj and Ty Dolla Sign
2017,86,Slippery,Migos featuring Gucci Mane
2017,87,Sign of the Times,Harry Styles
2017,88,Water Under the Bridge,Adele
2017,89,Malibu,Miley Cyrus
2017,90,Down,Marian Hill
2017,91,No Promises,Cheat Codes featuring Demi Lovato
2017,92,Treat You Better,Shawn Mendes
2017,93,I Get the Bag,Gucci Mane featuring Migos
2017,94,Small Town Boy,Dustin Lynch
2017,95,Everyday We Lit,YFN Lucci featuring PnB Rock
2017,96,Havana,Camila Cabello featuring Young Thug
2017,97,What Lovers Do,Maroon 5 featuring SZA
2017,98,Do Re Mi,Blackbear
2017,99,Look at Me!,XXXTentacion
2017,100,The Fighter,Keith Urban featuring Carrie Underwood
2018,1,God's Plan,Drake
2018,2,Perfect,Ed Sheeran
2018,3,Meant to Be,Bebe Rexha featuring Florida Georgia Line
2018,4,Havana,Camila Cabello featuring Young Thug
2018,5,Rockstar,Post Malone featuring 21 Savage
2018,6,Psycho,Post Malone featuring Ty Dolla Sign
2018,7,I Like It,"Cardi B, Bad Bunny and J Balvin"
2018,8,The Middle,"Zedd, Maren Morris and Grey"
2018,9,In My Feelings,Drake
2018,10,Girls Like You,Maroon 5 featuring Cardi B
2018,11,Nice for What,Drake
2018,12,Lucid Dreams,Juice Wrld
2018,13,Better Now,Post Malone
2018,14,Finesse,Bruno Mars featuring Cardi B
2018,15,Boo'd Up,Ella Mai
2018,16,New Rules,Dua Lipa
2018,17,Sad!,XXXTentacion
2018,18,Never Be the Same,Camila Cabello
2018,19,Love Lies,Khalid and Normani
2018,20,No Tears Left to Cry,Ariana Grande
2018,21,Mine,Bazzi
2018,22,Thunder,Imagine Dragons
2018,23,Look Alive,BlocBoy JB featuring Drake
2018,24,Delicate,Taylor Swift
2018,25,Yes Indeed,Lil Baby and Drake
2018,26,Friends,Marshmello and Anne-Marie
2018,27,Bad at Love,Halsey
2018,28,Taste,Tyga featuring Offset
2018,29,Let You Down,NF
2018,30,No Limit,G-Eazy featuring ASAP Rocky and Cardi B
2018,31,Fefe,6ix9ine featuring Nicki Minaj and Murda Beatz
2018,32,Tequila,Dan + Shay
2018,33,Feel It Still,Portugal. The Man
2018,34,MotorSport,"Migos, Nicki Minaj and Cardi B"
2018,35,I Like Me Better,Lauv
2018,36,Youngblood,5 Seconds of Summer
2018,37,Whatever It Takes,Imagine Dragons
2018,38,Ric Flair Drip,Offset and Metro Boomin
2018,39,I Fall Apart,Post Malone
2018,40,Pray for Me,The Weeknd and Kendrick Lamar
2018,41,Back to You,Selena Gomez
2018,42,Sicko Mode,Travis Scott
2018,43,Walk It Talk It,Migos featuring Drake
2018,44,Gucci Gang,Lil Pump
2018,45,Him & I,G-Eazy and Halsey
2018,46,In My Blood,Shawn Mendes
2018,47,All the Stars,Kendrick Lamar and SZA
2018,48,Stir Fry,Migos
2018,49,Too Good at Goodbyes,Sam Smith
2018,50,Love,Kendrick Lamar featuring Zacari
2018,51,This Is America,Childish Gambino
2018,52,Nonstop,Drake
2018,53,Heaven,Kane Brown
2018,54,Bodak Yellow,Cardi B
2018,55,Freaky Friday,Lil Dicky featuring Chris Brown
2018,56,Gummo,6ix9ine
2018,57,Plug Walk,Rich the Kid
2018,58,Wait,Maroon 5
2018,59,Be Careful,Cardi B
2018,60,Wolves,Selena Gomez and Marshmello
2018,61,Bartier Cardi,Cardi B featuring 21 Savage
2018,62,God Is a Woman,Ariana Grande
2018,63,Big Bank,"YG featuring 2 Chainz, Nicki Minaj and Big Sean"
2018,64,Sorry Not Sorry,Demi Lovato
2018,65,How Long,Charlie Puth
2018,66,Lights Down Low,Max featuring Gnash
2018,67,Young Dumb & Broke,Khalid
2018,68,One Kiss,Calvin Harris and Dua Lipa
2018,69,Natural,Imagine Dragons
2018,70,You Make It Easy,Jason Aldean
2018,71,Shape of You,Ed Sheeran
2018,72,I Get the Bag,Gucci Mane featuring Migos
2018,73,No Brainer,"DJ Khaled featuring Justin Bieber, Chance the Rapper and Quavo"
2018,74,Plain Jane,ASAP Ferg featuring Nicki Minaj
2018,75,Sky Walker,Miguel featuring Travis Scott
2018,76,Marry Me,Thomas Rhett
2018,77,Eastside,"Benny Blanco, Halsey and Khalid"
2018,78,Call Out My Name,The Weeknd
2018,79,King's Dead,"Jay Rock, Kendrick Lamar, Future and James Blake"
2018,80,Happier,Marshmello and Bastille
2018,81,Te Boté,"Nio García, Darell and Casper Mágico featuring Bad Bunny, Nicky Jam and Ozuna"
2018,82,Simple,Florida Georgia Line
2018,83,Lemon,N.E.R.D and Rihanna
2018,84,1-800-273-8255,Logic featuring Alessia Cara and Khalid
2018,85,Say Something,Justin Timberlake featuring Chris Stapleton
2018,86,I'm Upset,Drake
2018,87,Get Along,Kenny Chesney
2018,88,Moonlight,XXXTentacion
2018,89,What Lovers Do,Maroon 5 featuring SZA
2018,90,X,Nicky Jam and J Balvin
2018,91,Outside Today,YoungBoy Never Broke Again
2018,92,Trip,Ella Mai
2018,93,Dura,Daddy Yankee
2018,94,Changes,XXXTentacion
2018,95,Mercy,Brett Young
2018,96,One Number Away,Luke Combs
2018,97,Powerglide,Rae Sremmurd featuring Juicy J
2018,98,IDGAF,Dua Lipa
2018,99,Mi Gente,J Balvin and Willy William featuring Beyoncé
2018,100,Believer,Imagine Dragons
2019,1,Old Town Road,Lil Nas X featuring Billy Ray Cyrus
2019,2,Sunflower,Post Malone and Swae Lee
2019,3,Without Me,Halsey
2019,4,Bad Guy,Billie Eilish
2019,5,Wow,Post Malone
2019,6,Happier,Marshmello and Bastille
2019,7,7 Rings,Ariana Grande
2019,8,Talk,Khalid
2019,9,Sicko Mode,Travis Scott
2019,10,Sucker,Jonas Brothers
2019,11,High Hopes,Panic! at the Disco
2019,12,"Thank U, Next",Ariana Grande
2019,13,Truth Hurts,Lizzo
2019,14,Dancing with a Stranger,Sam Smith and Normani
2019,15,Señorita,Shawn Mendes and Camila Cabello
